MS Dhoni,250
RG Sharma,243
KD Karthik,242
V Kohli,237
RA Jadeja,226
S Dhawan,217
SK Raina,205
RV Uthappa,205
AT Rayudu,204
R Ashwin,197
KA Pollard,189
AB de Villiers,184
PP Chawla,181
DA Warner,176
YK Pathan,174
AM Rahane,172
MK Pandey,170
Harbhajan Singh,163
SP Narine,162
DJ Bravo,161
A Mishra,161
WP Saha,161
B Kumar,160
G Gambhir,154
SV Samson,152
YS Chahal,145
SR Watson,145
CH Gayle,142
UT Yadav,141
PA Patel,139
SA Yadav,139
AR Patel,136
Yuvraj Singh,132
F du Plessis,130
GJ Maxwell,124
MA Agarwal,123
HH Pandya,123
SL Malinga,122
DA Miller,121
JJ Bumrah,120
P Kumar,119
KL Rahul,118
Sandeep Sharma,116
NV Ojha,113
KH Pandya,113
AD Russell,112
Mandeep Singh,111
Mohammed Shami,110
BB McCullum,109
Rashid Khan,109
DJ Hooda,107
M Vijay,106
N Rana,105
R Vinay Kumar,105
V Sehwag,104
IK Pathan,103
SPD Smith,103
SS Iyer,101
I Sharma,101
Z Khan,100
MM Sharma,100
JH Kallis,98
RR Pant,98
MK Tiwary,98
JC Buttler,96
Q de Kock,96
S Badrinath,95
R Bhatia,95
STR Binny,95
KM Jadhav,95
DW Steyn,95
JD Unadkat,94
SS Tiwary,93
AJ Finch,92
DS Kulkarni,92
PP Ojha,92
HV Patel,92
Ishan Kishan,91
JA Morkel,91
Shubman Gill,91
DR Smith,91
R Dravid,89
RA Tripathi,89
TA Boult,88
A Nehra,88
SN Thakur,86
JP Duminy,83
EJG Morgan,83
RP Singh,82
MP Stoinis,82
CH Morris,81
R Tewatia,81
AC Gilchrist,80
DPMD Jayawardene,80
Mohammed Siraj,79
AB Dinda,78
SR Tendulkar,78
KS Williamson,77
KK Nair,76
SK Trivedi,76
